threshold,accuracy,precision,recall,f1,f2,balanced_accuracy
0.05,0.5359375,0.5186385737439222,1.0,0.6830309498399146,0.8434370057986295,0.5359375
0.1,0.5828125,0.5459272097053726,0.984375,0.7023411371237458,0.8481421647819063,0.5828125
0.15,0.621875,0.5709090909090909,0.98125,0.7218390804597701,0.8579234972677595,0.621875
0.2,0.640625,0.5855513307984791,0.9625,0.7281323877068558,0.8527131782945736,0.640625
0.25,0.665625,0.6072874493927125,0.9375,0.7371007371007371,0.8455467869222097,0.665625
0.3,0.6890625,0.6295503211991434,0.91875,0.747141041931385,0.8414424728105323,0.6890624999999999
0.35,0.7046875,0.651270207852194,0.88125,0.749003984063745,0.8231173380035026,0.7046874999999999
0.4,0.7265625,0.6790123456790124,0.859375,0.7586206896551724,0.8160237388724035,0.7265625
0.45,0.740625,0.7092391304347826,0.815625,0.7587209302325582,0.7918689320388349,0.7406250000000001
0.5,0.7359375,0.7280966767371602,0.753125,0.7403993855606759,0.7479826194909994,0.7359375
0.55,0.740625,0.7655172413793103,0.69375,0.7278688524590164,0.7070063694267515,0.740625
0.6,0.740625,0.8130081300813008,0.625,0.7067137809187279,0.6553079947575361,0.740625
0.65,0.709375,0.8160377358490566,0.540625,0.650375939849624,0.5797587131367292,0.7093750000000001
0.7,0.690625,0.8388888888888889,0.471875,0.604,0.5171232876712328,0.690625
0.75,0.6671875,0.8689655172413793,0.39375,0.5419354838709678,0.4421052631578947,0.6671875
0.8,0.6453125,0.8907563025210085,0.33125,0.48291571753986334,0.3788420300214439,0.6453125
0.85,0.60625,0.925,0.23125,0.37,0.27205882352941174,0.60625
0.9,0.559375,0.9523809523809523,0.125,0.22099447513812154,0.15128593040847202,0.559375
0.95,0.5046875,1.0,0.009375,0.018575851393188854,0.011691348402182385,0.5046875
